"","yard","UBO_assay_score","field_ID","date_collected","varroa_load_mites.100.bees","nosema_load_spores.bee","varroa","nosema","fitness","varroaScaled","nosemaScaled","uboScaled"
"857","Fortin",0,"213","8/17/23","0.667","0",0.667,0,0.655502962194711,0.571581261377928,0,0
"859","Fortin",0.69,"188","8/17/23","0.000","0",0,0,0.983712622976408,0,0,0.547323170709369
"862","Fortin",0,"192","8/17/23","0.000","50000",0,50000,0.775820947302611,0,0.161403430303708,0
"863","Fortin",0,"190","8/17/23","0.000","0",0,0,0.823165620886716,0,0,0
"864","Fortin",0.2,"191","8/17/23","0.000","50000",0,50000,0.822356310227159,0,0.161403430303708,0.158644397307063
"866","Fortin",0.11,"198","8/17/23","0.333","0",0.333,0,0.765054425301159,0.285362158978786,0,0.0872544185188849
"867","Fortin",0,"223","8/17/23","0.000","0",0,0,0.823165620886716,0,0,0
"868","Fortin",0.55,"222","8/17/23","0.333","0",0.333,0,0.867432223735165,0.285362158978786,0,0.436272092594424
"871","Fortin",0,"195","8/17/23","0.000","150000",0,150000,0.6811316001344,0,0.484210290911124,0
"872","Fortin",0,"194","8/17/23","0.000","0",0,0,0.823165620886716,0,0,0
"873","Fortin",0.11,"211","8/17/23","0.000","0",0,0,0.848760070495218,0,0,0.0872544185188849
"874","Fortin",0.68,"228","8/17/23","0.000","0",0,0,0.981385854830181,0,0,0.539390950844016
"876","Fortin",0.02,"224","8/17/23","0.000","0",0,0,0.827819157179171,0,0,0.0158644397307063
"877","Fortin",0.76,"230","8/17/23","0.000","0",0,0,1,0,0,0.602848709766841
"896","Fortin",0.31,"215","8/17/23","0.333","50000",0.333,50000,0.764245114641601,0.285362158978786,0.161403430303708,0.245898815825948
"897","Rainville",0,"235","8/17/23","0.000","0",0,0,0.823165620886716,0,0,0
"899","Rainville",0,"239","8/17/23","0.000","100000",0,1e+05,0.728476273718505,0,0.322806860607416,0
"900","Rainville",0.05,"233","8/17/23","0.000","0",0,0,0.834799461617854,0,0,0.0396610993267659
"902","Rainville",0,"250","8/17/23","0.000","0",0,0,0.823165620886716,0,0,0
"903","Rainville",0.31,"249","8/17/23","0.000","150000",0,150000,0.753261412667449,0,0.484210290911124,0.245898815825948
"905","Rainville",0,"251","8/17/23","0.000","0",0,0,0.823165620886716,0,0,0
"906","Rainville",0.11,"248","8/17/23","0.000","150000",0,150000,0.706726049742901,0,0.484210290911124,0.0872544185188849
"912","Rainville",0.15,"245","8/17/23","0.000","0",0,0,0.858067143080128,0,0,0.118983297980298
"914","Rainville",0.56,"244","8/17/23","0.000","100000",0,1e+05,0.85877528990724,0,0.322806860607416,0.444204312459778
"915","Rainville",0.07,"243","8/17/23","0.333","100000",0.333,1e+05,0.661058005548038,0.285362158978786,0.322806860607416,0.0555255390574722
"916","Rainville",0,"242","8/17/23","2.333","250000",2.333,250000,0,1.99924899969221,0.80701715151854,0
